PassengerId,Transported,1
0013_01,False,True
0018_01,False,False
0019_01,False,True
0021_01,False,True
0023_01,False,True
0027_01,False,True
0029_01,False,True
0032_01,False,True
0032_02,False,True
0033_01,False,True
0037_01,False,False
0040_01,False,False
0040_02,False,True
0042_01,False,True
0046_01,False,False
0046_02,False,False
0046_03,False,False
0047_01,False,True
0047_02,False,True
0047_03,False,False
0048_01,False,False
0049_01,False,False
0054_01,False,True
0054_02,False,True
0054_03,False,True
0055_01,False,False
0057_01,False,True
0059_01,False,True
0060_01,False,True
0063_01,False,True
0065_01,False,True
0075_01,False,False
0079_01,False,True
0080_01,False,True
0083_01,False,False
0087_01,False,False
0089_01,False,False
0093_01,False,True
0094_01,False,True
0094_02,False,False
0095_01,False,True
0096_01,False,True
0100_01,False,True
0100_02,False,True
0104_01,False,False
0106_01,False,True
0109_01,False,False
0117_01,False,True
0118_01,False,True
0121_01,False,False
0124_01,False,True
0125_01,False,True
0125_02,False,False
0130_01,False,True
0131_01,False,False
0132_01,False,True
0135_01,False,False
0137_01,False,True
0142_01,False,True
0142_02,False,False
0142_03,False,True
0143_01,False,False
0145_01,False,False
0150_01,False,True
0150_02,False,True
0153_01,False,False
0154_01,False,True
0155_01,False,False
0156_01,False,True
0157_01,False,False
0158_01,False,False
0158_02,False,False
0159_01,False,False
0161_01,False,True
0162_01,False,True
0166_01,False,True
0168_01,False,True
0175_01,False,True
0175_02,False,True
0175_03,False,True
0175_04,False,True
0175_05,False,True
0176_01,False,False
0180_01,False,False
0184_01,False,False
0185_01,False,True
0187_01,False,True
0191_01,False,False
0194_01,False,True
0194_02,False,True
0194_03,False,False
0204_01,False,False
0208_01,False,True
0209_01,False,False
0214_01,False,False
0214_02,False,False
0215_01,False,True
0218_01,False,False
0226_01,False,True
0227_01,False,True
0228_01,False,True
0228_02,False,True
0228_03,False,True
0228_04,False,False
0230_01,False,True
0230_02,False,True
0235_01,False,False
0236_01,False,True
0238_01,False,False
0247_01,False,True
0247_02,False,True
0249_01,False,False
0256_01,False,True
0259_01,False,True
0262_01,False,False
0264_01,False,True
0264_02,False,True
0264_03,False,False
0266_01,False,False
0266_02,False,False
0268_01,False,False
0268_02,False,False
0271_01,False,False
0272_01,False,True
0273_01,False,True
0273_02,False,True
0273_03,False,False
0274_01,False,False
0274_02,False,True
0276_01,False,False
0276_02,False,True
0279_01,False,False
0280_01,False,False
0284_01,False,True
0292_01,False,False
0293_01,False,True
0295_01,False,True
0296_01,False,False
0299_01,False,False
0300_01,False,False
0308_01,False,True
0311_01,False,True
0312_01,False,True
0317_01,False,False
0318_01,False,True
0319_01,False,False
0319_02,False,True
0323_01,False,True
0325_01,False,True
0328_01,False,True
0329_01,False,True
0332_01,False,True
0335_01,False,True
0339_01,False,False
0339_02,False,False
0339_03,False,False
0339_04,False,True
0339_05,False,True
0339_06,False,False
0339_07,False,False
0339_08,False,False
0342_01,False,True
0342_02,False,True
0344_01,False,True
0344_02,False,False
0349_01,False,False
0349_02,False,True
0349_03,False,False
0349_04,False,True
0349_05,False,False
0349_06,False,False
0351_01,False,True
0353_01,False,False
0353_02,False,True
0354_01,False,True
0362_01,False,True
0363_01,False,True
0363_02,False,True
0363_03,False,True
0364_01,False,True
0364_02,False,False
0366_01,False,True
0367_01,False,False
0374_01,False,False
0374_02,False,False
0386_01,False,True
0390_01,False,True
0393_01,False,False
0394_01,False,True
0399_01,False,True
0400_01,False,True
0404_01,False,True
0406_01,False,False
0414_01,False,False
0416_01,False,False
0418_01,False,False
0419_01,False,True
0419_02,False,True
0419_03,False,True
0420_01,False,False
0421_01,False,True
0422_01,False,False
0424_01,False,False
0426_01,False,False
0440_01,False,True
0443_01,False,False
0450_01,False,False
0451_01,False,True
0455_01,False,True
0464_01,False,True
0467_01,False,True
0467_02,False,True
0467_03,False,True
0467_04,False,True
0469_01,False,False
0473_01,False,False
0478_01,False,False
0478_02,False,True
0479_01,False,True
0483_01,False,True
0483_02,False,True
0484_01,False,True
0486_01,False,False
0489_01,False,True
0489_02,False,True
0491_01,False,True
0492_01,False,False
0493_01,False,True
0494_01,False,True
0494_02,False,True
0495_01,False,True
0495_02,False,True
0495_03,False,True
0495_04,False,True
0495_05,False,False
0495_06,False,True
0496_01,False,True
0496_02,False,True
0497_01,False,True
0505_01,False,False
0508_01,False,True
0509_01,False,True
0511_01,False,False
0514_01,False,True
0524_01,False,True
0526_01,False,True
0530_01,False,False
0530_02,False,False
0530_03,False,True
0532_01,False,False
0532_02,False,True
0535_01,False,False
0536_01,False,False
0536_02,False,False
0541_01,False,True
0543_01,False,True
0544_01,False,True
0554_01,False,False
0557_01,False,True
0557_02,False,True
0558_01,False,True
0562_01,False,False
0562_02,False,True
0574_01,False,False
0578_01,False,True
0578_02,False,True
0584_01,False,True
0584_02,False,False
0592_01,False,True
0595_01,False,True
0601_01,False,True
0604_01,False,True
0605_01,False,False
0606_01,False,True
0613_01,False,True
0613_02,False,True
0616_01,False,False
0617_01,False,False
0620_01,False,False
0620_02,False,True
0620_03,False,True
0621_01,False,False
0622_01,False,False
0624_01,False,True
0625_01,False,True
0625_02,False,True
0625_03,False,True
0626_01,False,True
0626_02,False,True
0626_03,False,True
0627_01,False,True
0632_01,False,False
0632_02,False,True
0632_03,False,True
0640_01,False,True
0640_02,False,True
0648_01,False,False
0648_02,False,False
0649_01,False,True
0651_01,False,True
0652_01,False,True
0652_02,False,True
0652_03,False,True
0652_04,False,False
0652_05,False,True
0654_01,False,False
0662_01,False,True
0666_01,False,True
0666_02,False,True
0667_01,False,False
0670_01,False,False
0670_02,False,False
0673_01,False,True
0675_01,False,True
0676_01,False,False
0681_01,False,True
0692_01,False,True
0694_01,False,True
0695_01,False,True
0698_01,False,False
0700_01,False,True
0706_01,False,True
0708_01,False,True
0708_02,False,True
0711_01,False,False
0716_01,False,True
0717_01,False,True
0717_02,False,True
0717_03,False,True
0717_04,False,True
0717_05,False,False
0717_06,False,True
0717_07,False,True
0720_01,False,False
0720_02,False,False
0720_03,False,False
0721_01,False,False
0722_01,False,False
0723_01,False,False
0725_01,False,True
0730_01,False,True
0731_01,False,False
0731_02,False,False
0735_01,False,False
0739_01,False,False
0741_01,False,True
0742_01,False,False
0742_02,False,True
0744_01,False,True
0745_01,False,False
0747_01,False,False
0748_01,False,True
0748_02,False,False
0749_01,False,False
0751_01,False,True
0752_01,False,True
0755_01,False,True
0758_01,False,False
0758_02,False,True
0758_03,False,False
0759_01,False,True
0759_02,False,False
0759_03,False,True
0760_01,False,False
0763_01,False,True
0763_02,False,False
0766_01,False,True
0774_01,False,True
0774_02,False,False
0774_03,False,True
0775_01,False,True
0775_02,False,True
0775_03,False,True
0775_04,False,False
0775_05,False,True
0775_06,False,True
0778_01,False,True
0778_02,False,True
0780_01,False,True
0783_01,False,False
0792_01,False,True
0800_01,False,False
0801_01,False,False
0803_01,False,True
0804_01,False,True
0807_01,False,False
0810_01,False,False
0812_01,False,True
0814_01,False,False
0821_01,False,True
0827_01,False,False
0827_02,False,True
0827_03,False,True
0831_01,False,False
0832_01,False,True
0837_01,False,True
0837_02,False,False
0838_01,False,True
0838_02,False,True
0841_01,False,False
0842_01,False,True
0843_01,False,True
0844_01,False,True
0847_01,False,False
0852_01,False,True
0854_01,False,False
0855_01,False,True
0856_01,False,False
0857_01,False,True
0858_01,False,False
0858_02,False,False
0861_01,False,True
0862_01,False,True
0864_01,False,False
0864_02,False,True
0864_03,False,True
0866_01,False,True
0872_01,False,False
0880_01,False,True
0880_02,False,True
0882_01,False,True
0884_01,False,False
0884_02,False,True
0886_01,False,False
0886_02,False,False
0886_03,False,True
0887_01,False,False
0887_02,False,False
0888_01,False,False
0888_02,False,True
0891_01,False,True
0892_01,False,True
0892_02,False,True
0892_03,False,True
0894_01,False,True
0895_01,False,False
0896_01,False,True
0897_01,False,True
0897_02,False,True
0900_01,False,True
0908_01,False,True
0909_01,False,False
0909_02,False,True
0909_03,False,False
0914_01,False,False
0916_01,False,False
0917_01,False,False
0920_01,False,False
0929_01,False,False
0934_01,False,False
0936_01,False,False
0937_01,False,True
0943_01,False,False
0943_02,False,True
0943_03,False,True
0945_01,False,False
0945_02,False,False
0948_01,False,False
0950_01,False,False
0954_01,False,True
0958_01,False,False
0959_01,False,False
0962_01,False,True
